timestamp,co2_flux,H,LE,ws,wd,Ta,Pres
2026-06-09 13:15:00.000,7.09558521275885,19.0834356817807,79.5026006864088,2.83031538687086,256.379694974363,13.9252385533274,94.8162178958339
2026-06-09 13:45:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-09 14:15:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-09 14:45:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-09 15:15:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-09 15:45:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-09 16:15:00.000,9.80578098205056,41.0318331158909,31.4756363467125,3.82443154669569,202.434353811836,14.1414608499641,94.8187007180549
2026-06-09 16:45:00.000,15.3704099553291,63.3590103290654,34.3340452632958,3.52955222522513,193.900585657803,14.0584796247156,94.8234528905548
2026-06-09 17:15:00.000,3.31813196002384,19.8476172190373,2.11574072858963,4.23485185683814,179.154144641515,13.7843481328739,94.826166473055
2026-06-09 17:45:00.000,10.0799760927069,20.6305861593233,14.1029364270965,3.87352094451522,186.16739121689,13.8502305573848,94.8343071758328
2026-06-09 18:15:00.000,9.40892148283389,22.6879898699147,15.1793467560383,3.66046930871618,174.838266841197,13.8845535880001,94.8567018427782
2026-06-09 18:45:00.000,4.35012285176371,8.94489658581259,12.6852291992713,4.27699139275403,170.829317356429,13.7441089857192,94.845653641111
2026-06-09 19:15:00.000,8.36728974311712,7.90570204924963,18.4779795255128,3.40349889493478,179.007151106959,13.8366392662339,94.8512805344442
2026-06-09 19:45:00.000,9.56064846367098,4.41996300554801,16.7545000056902,3.31707237347814,181.203788216745,13.8932814276967,94.8604073347231
2026-06-09 20:15:00.000,9.36595754605615,-2.67252719036832,18.1532063998035,3.57722204838005,187.397007375068,13.8677575248623,94.846319891111
2026-06-09 20:45:00.000,7.57827373114564,3.5518221990673,14.3206868311378,2.61524820109189,199.680191145595,13.9008233132794,94.836433163888
2026-06-09 21:15:00.000,-4.62896513538732,5.51056654489261,8.3526040793082,2.08953899817446,198.596866832619,13.9041015229859,94.828949875556
2026-06-09 21:45:00.000,0.610261347094628,-0.173355559234602,4.09702834302784,2.05914464259888,200.643873915034,13.9058881650602,94.8282688666668
2026-06-09 22:15:00.000,-2.88589951436178,8.46591206285612,0.449363303625128,1.15745085869734,186.787565488352,13.9747085609554,94.8283252777779
2026-06-09 22:45:00.000,-15.5395198562522,58.3678013553857,-32.317191125942,0.922651983504273,193.441857013098,13.9309924076167,94.8137503555554
2026-06-09 23:15:00.000,-4.0081274018413,-8.99792957659259,55.1229398588365,1.561339719151,173.361667914151,13.6037906159115,94.8048202425009
2026-06-09 23:45:00.000,-15.9878932772269,-2.21075691382991,21.1554756330901,1.65150379738617,183.997400447902,13.3996887562813,94.8063552000001
2026-06-10 00:15:00.000,-21.7050084715573,9.53751292618951,28.8542429309373,1.14927165626041,191.499067966222,13.167181374391,94.7807254755553
2026-06-10 00:45:00.000,-36.6375981107058,8.38654829997811,-48.8256753926471,1.27770371149638,260.109270780017,12.8502536070164,94.7444513252784
2026-06-10 01:15:00.000,-23.7163499569511,-0.660851530268567,-51.4439936088804,2.25676491181786,283.596841044808,13.1954652923505,94.731220781667
2026-06-10 01:45:00.000,7.95410866353503,-6.28852551133956,38.9052891364558,1.84234194552743,274.758538773667,13.6192841922843,94.7231297238899
2026-06-10 02:15:00.000,-8.23104044412313,-0.70141224312421,-0.588865843935017,1.55026989689435,287.734718471419,13.0893364813036,94.7116029255565
2026-06-10 02:45:00.000,NaN,-11.7177310985807,171.260042805106,0.964839430339613,317.851104248713,12.7164908297272,94.6994423924996
2026-06-10 03:15:00.000,-8.36007236657993,1.47564871031741,10.9894121120926,0.6178661055314,7.61330233918756,12.8097429454086,94.6966972813888
